model,wis,coverage_50,coverage_80,coverage_90,coverage_95
lgbm_quantile,81.20389741127907,0.46089385474860334,0.7589170605930382,0.878813923506661,0.9368285345938977
ensemble_vincent,91.25626981258888,0.5259991405242802,0.7894284486463258,0.8672110012892136,0.9024495058014611
climatological_quantile,94.44961213173853,0.5472711645896003,0.7758917060593038,0.8364847443059733,0.8592608508809626
seasonal_naive,97.77998364608702,0.4911903738719381,0.7816931671680275,0.8865492049849591,0.9260850880962613
mechanistic_traj,101.00068340256888,0.5148259561667383,0.7636441770519983,0.8523850451224753,0.8932101418134938
naive,123.11144821658789,0.39965620971207566,0.6753330468414267,0.791577137945853,0.9000859475719811
